Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2022-08-06 11:00:00+00:00,56.55353,290.0,17.231498999999985,1014.8,60854.84436920116,2.432919767417559,2.6850926245977034,2.6850926245977034,7.184160567516843,5.653003789548785,47.9435487704563,-81.75842320483545,28214.230558726616,-7942.139349589292,425.97386072358023,
2022-08-06 12:00:00+00:00,66.1826,290.0,17.981498999999985,1013.9,61505.38379785827,2.4331305080779733,2.8584297655836663,2.8222359325775908,7.251445861778582,5.505738195016962,47.94864519851366,-81.74975427571096,30336.007076077483,-6079.704005192121,407.804901260869,
2022-08-06 13:00:00+00:00,58.77416,280.0,19.381500000000017,1013.5,62372.262407088245,2.4344498025116152,3.0881755873998795,2.801192789817744,7.242334889546666,6.154152468876623,47.96311738794954,-81.7382981756133,33134.37217283458,-795.6168009453826,379.22915556653317,
2022-08-06 14:00:00+00:00,57.25444,280.0,21.931500000000028,1012.2,62602.132569633235,2.4322506389785925,3.0153342367305678,2.8191366734449224,7.231201860436753,6.298342668407732,47.975206161254185,-81.72409801626198,36604.97983891657,3620.728965437606,368.77095195925887,
2022-08-06 15:00:00+00:00,62.47563,280.0,23.581500000000005,1011.7,62637.698969515855,2.431150512700835,3.124425457218429,2.816813877117463,7.267791687966965,6.139795120229217,47.98676165390123,-81.71203203134826,39551.72356284978,7842.081738724844,363.86859859665134,
2022-08-06 16:00:00+00:00,62.93427,270.0,24.881500000000017,1011.8,62206.61802075553,2.4277696104354014,2.8402789073601964,2.8198744081300178,7.1712068413303784,5.893675802392105,47.9867807251668,-81.69036909177129,44856.87129896188,7860.892113722351,372.4080095398223,
2022-08-06 17:00:00+00:00,73.32111,280.0,24.781499999999994,1011.7,62056.15807853125,2.428038244741482,2.968114056379979,2.816352776809431,7.25900180572666,6.359440425519579,47.98242460444632,-81.68958367949553,45053.00554364225,6272.254842269163,377.27067914332446,
2022-08-06 18:00:00+00:00,71.38302,280.0,25.981498999999985,1011.7,61855.13491626865,2.4263994499350576,2.9097056971807693,2.825266767363438,7.258896048909249,6.31795862409525,47.97948123281738,-81.6804105185483,47302.35034371643,5204.017342687364,381.18794641765203,
2022-08-06 19:00:00+00:00,73.05724,280.0,25.981498999999985,1011.0,61715.870849329935,2.4253020051074095,2.8599482108922225,2.824269125675925,7.271876862685413,5.395879587974192,47.97898206553776,-81.6861329168364,45901.204828749105,5018.466140168669,387.12981530775727,
2022-08-07 11:00:00+00:00,88.806526,270.0,13.131500000000017,1017.0,65956.40047384368,2.440575347038129,3.2700420224178584,2.7918077804484382,7.106086844164541,5.06100365544287,48.012191470361316,-81.59715188825261,67652.10064870649,17198.63362588104,224.37975716776035,
2022-08-07 12:00:00+00:00,91.36967,270.0,13.081500000000005,1018.2,66524.42939902857,2.4427466797783093,3.661761563677936,2.7880328539906554,7.251867939898282,4.456949656852802,48.00083297044571,-81.5890111905564,69660.02587405324,13062.341681776836,183.2125861232252,
2022-08-07 13:00:00+00:00,90.085556,270.0,13.48150099999998,1018.3,66557.71391425218,2.4424156837743585,3.7068327672363357,2.787195772846666,7.269819978322632,4.28882044463718,47.9950637506841,-81.59645059944724,67846.21027656409,10951.123180114064,179.3044763752914,
2022-08-07 14:00:00+00:00,91.36048,270.0,14.48150099999998,1018.7,66610.0800227552,2.4396646407975444,3.872886958621049,2.8109577468334526,7.069628493190752,3.981827056272216,47.99720136919719,-81.59944843178197,67109.40255353153,11728.294498307809,171.25511668104716,
2022-08-07 15:00:00+00:00,91.58996,270.0,15.381500000000017,1019.0,66648.20616828187,2.438340487978167,3.961270023054105,2.8085880356705517,7.222729712340518,3.6669213089950805,47.99367520274039,-81.5982608554475,67404.76701105926,10442.99982386839,164.54557831337772,
2022-08-07 16:00:00+00:00,93.57616,270.0,15.781500999999992,1018.6,66915.92752260591,2.4384194208516017,4.046889550913199,2.844484733739576,7.082355498409245,2.963442673208138,47.98931590593702,-81.6003214982247,66905.82728185799,8850.95415538196,145.6550429604851,
